Date,Comparison_Type
20141022,171.6
20141023,42.9
20141024,165
20141025,162.8
20141026,228.8
20141027,169.4
20141028,224.4
20141029,125.4
20141030,132
20141031,114.4
20141101,309.1
20141102,268.4
20141103,531.3
20141104,385
20141105,95.7
20141106,42.9
20141107,61.6
20141108,25.3
20141109,27.5
20141110,24.2
20141111,37.4
20141112,53.9
20141113,86.9
20141114,50.6
20141115,36.3
20141116,37.4
20141117,51.7
20141118,72.6
20141119,70.4
20141120,39.6
20141121,62.7
20141122,74.8
20141123,56.1
20141124,40.7
20141125,36.3
20141126,41.8
20141127,34.1
20141128,55
20141129,63.8
20141130,60.5
20141201,46.2
20141202,8.8
20141203,3.3
20141204,49.5
20141205,7.7
20141206,68.2
20141207,84.7
20141208,170.5
20141209,200.2
20141210,123.2
20141211,42.9
20141212,12.1
20141213,27.5
20141214,57.2
20141215,365.2
20141216,72.6
20141217,152.9
20141218,206.8
20141220,149.6
20141221,22
20141222,37.4
20141223,75.9
20141224,143
20141225,147.4
20141226,206.8
20141227,471.9
20141228,140.8
20141229,62.7
20141230,28.6
20141231,31.9
20150101,123.2
20150102,270.6
20150103,396
20150105,312.4
20150106,86.9
20150107,78.1
20150108,143
20150109,110
20150110,154
20150111,217.8
20150112,509.3
20150113,960.3
20150114,1081.3
20150115,320.1
20150116,258.5
20150117,39.6
20150118,107.8
20150119,277.2
20150120,1613.7
20150121,1288.1
20150122,1136.3
20150123,816.2
20150124,227.7
20150125,92.4
20150126,149.6
20150127,419.1
20150128,567.6
20150129,2077.9
20150130,1101.1
20150131,1240.8
20150201,1491.6
20150202,92.4
20150203,228.8
20150204,243.1
20150205,520.3
20150206,899.8
20150207,1015.3
20150208,1171.5
20150209,721.6
20150210,695.2
20150211,264
20150212,330
20150213,541.2
20150214,712.8
20150215,798.6
20150216,732.6
20150217,629.2
20150218,367.4
20150219,52.8
20150220,97.9
20150221,387.2
20150222,709.5
20150223,745.8
20150224,1134.1
20150225,1399.2
20150226,1158.3
20150227,904.2
20150228,480.7
20150301,490.6
20150302,838.2
20150303,936.1
20150304,947.1
20150305,1757.8
20150306,1532.3
20150307,1136.3
20150308,598.4
20150309,254.1
20150310,635.8
20150311,1601.6
20150312,1563.1
20150313,2041.6
20150314,1829.3
20150315,1481.7
20150316,1027.4
20150317,622.6
20150318,377.3
20150319,921.8
20150320,2097.7
20150321,2545.4
20150322,1604.9
20150323,1650
20150324,620.4
20150325,508.2
20150326,237.6
20150327,216.7
20150328,342.1
20150329,622.6
20150330,1138.5
20150331,745.8
20150401,1420.1
20150402,1051.6
20150403,873.4
20150404,432.3
20150405,201.3
20150406,683.1
20150407,1274.9
20150408,787.6
20150409,464.2
20150410,564.3
20150411,286
20150412,180.4
20150413,119.9
20150414,214.5
20150415,403.7
20150416,622.6
20150417,810.7
20150418,1016.4
20150419,1054.9
20150420,841.5
20150421,321.2
20150423,118.8
20150424,121
20150425,123.2
20150426,166.1
20150427,254.1
20150428,316.8
20150429,201.3
20150430,104.5
20150501,77
20150502,143
20150503,829.4
20150504,339.9
20150505,403.7
20150506,369.6
20150507,182.6
20150508,141.9
20150509,66
20150510,63.8
20150511,107.8
20150512,136.4
20150513,79.2
20150514,130.9
20150515,161.7
20150516,82.5
20150517,79.2
20150518,36.3
20150519,56.1
20150520,47.3
20150521,114.4
20150522,99
20150523,63.8
20150524,83.6
20150525,56.1
20150526,57.2
20150527,41.8
20150528,58.3
20150529,116.6
20150530,215.6
20150531,154
20150601,146.3
20150602,58.3
20150603,276.1
20150604,29.7
20150605,11
20150606,5.5
20150607,13.2
20150608,22
20150609,31.9
20150610,59.4
20150611,6.6
20150612,15.4
20150613,9.9
20150614,48.4
20150615,4.4
20150616,13.2
20150617,17.6
20150618,47.3
20150619,9.9
20150620,27.5
20150621,12.1
20150622,13.2
20150623,36.3
20150624,61.6
20150625,59.4
20150626,349.8
20150627,108.9
20150628,106.7
20150629,57.2
20150630,40.7
20150701,52.8
20150702,91.3
20150703,146.3
20150704,445.5
20150705,122.1
20150706,106.7
20150707,114.4
20150708,63.8
20150709,35.2
20150710,72.6
20150711,97.9
20150712,300.3
20150713,50.6
20150714,48.4
20150715,80.3
20150716,81.4
20150717,39.6
20150718,25.3
20150719,36.3
20150720,122.1
20150721,145.2
20150722,107.8
20150723,379.5
20150724,88
20150725,53.9
20150726,52.8
20150727,51.7
20150728,85.8
20150729,204.6
20150730,103.4
20150731,68.2
20150801,72.6
20150802,64.9
20150803,71.5
20150804,24.2
20150805,14.3
20150806,22
20150807,41.8
20150808,74.8
20150809,127.6
20150812,105.6
20150813,41.8
20150814,55
20150815,110
20150816,172.7
20150817,335.5
20150818,383.9
20150819,392.7
20150820,283.8
20150821,181.5
20150822,371.8
20150824,249.7
20150825,272.8
20150826,144.1
20150827,73.7
20150828,123.2
20150829,246.4
20150830,181.5
20150831,283.8
20150901,446.6
20150902,480.7
20150903,227.7
20150904,529.1
20150905,409.2
20150906,189.2
20150907,218.9
20150908,228.8
20150909,215.6
20150910,389.4
20150911,381.7
20150912,170.5
20150913,460.9
20150914,396
20150915,272.8
20150916,44
20150917,77
20150918,319
20150919,182.6
20150920,191.4
20150921,575.3
20150922,590.7
20150923,449.9
20150924,363
20150926,71.5
20150927,83.6
20150928,179.3
20150929,168.3
20150930,154
20151001,640.2
20151002,400.4
20151003,165
20151004,114.4
20151005,95.7
20151006,151.8
20151007,163.9
20151008,130.9
20151009,246.4
20151010,115.5
20151011,114.4
20151012,342.1
20151013,46.2
20151014,198
20151015,284.9
20151016,190.3
20151017,114.4
20151018,503.8
20151020,196.9
20151021,136.4
20151022,96.8
20151023,123.2
20151024,245.3
20151025,135.3
20151026,147.4
20151027,151.8
20151028,143
20151029,38.5
20151030,31.9
20151031,67.1
20151101,125.4
20151102,93.5
20151103,90.2
20151104,64.9
20151105,37.4
20151106,101.2
20151107,30.8
20151108,27.5
20151109,48.4
20151110,49.5
20151111,46.2
20151113,25.3
20151114,45.1
20151115,50.6
20151117,52.8
20151118,13.2
20151119,24.2
20151120,28.6
20151121,23.1
20151122,36.3
20151123,17.6
20151124,27.5
20151125,20.9
20151126,16.5
20151127,30.8
20151128,6.6
20151129,16.5
20151130,17.6
20151201,11
20151202,33
20151203,42.9
20151204,37.4
20151205,40.7
20151206,36.3
20151207,31.9
20151208,48.4
20151209,4.4
20151210,7.7
20151211,26.4
20151212,7.7
20151213,141.9
20151214,141.9
20151215,89.1
20151216,24.2
20151217,74.8
20151218,35.2
20151219,2.2
20151220,18.7
20151221,108.9
20151222,23.1
20151223,79.2
20151224,107.8
20151225,136.4
20151226,28.6
20151227,212.3
20151228,25.3
20151229,25.3
20151230,97.9
20151231,366.3
20160101,111.1
20160102,155.1
20160103,77
20160104,12.1
20160105,57.2
20160106,41.8
20160107,36.3
20160108,67.1
20160109,44
20160110,85.8
20160111,72.6
20160112,270.6
20160113,33
20160114,26.4
20160115,60.5
20160116,70.4
20160117,125.4
20160118,184.8
20160119,133.1
20160120,108.9
20160121,51.7
20160122,19.8
20160123,47.3
20160124,15.4
20160125,73.7
20160126,112.2
20160127,162.8
20160128,200.2
20160129,66
20160130,121
20160201,235.4
20160202,75.9
20160203,165
20160204,413.6
20160205,348.7
20160206,490.6
20160207,314.6
20160208,78.1
20160209,105.6
20160211,106.7
20160212,262.9
20160213,507.1
20160214,489.5
20160215,238.7
20160216,88
20160217,55
20160218,117.7
20160219,751.3
20160220,254.1
20160221,316.8
20160222,288.2
20160223,311.3
20160224,272.8
20160225,62.7
20160226,67.1
20160227,105.6
20160228,100.1
20160229,155.1
20160301,609.4
20160302,547.8
20160303,267.3
20160304,88
20160305,35.2
20160306,82.5
20160307,267.3
20160308,349.8
20160309,580.8
20160310,283.8
20160311,214.5
20160312,177.1
20160313,56.1
20160314,27.5
20160315,119.9
20160316,212.3
20160317,775.5
20160318,937.2
20160319,502.7
20160320,1212.2
20160321,272.8
20160322,69.3